text,sentiment
I love the new design of the website.,positive
The flight was delayed for hours.,negative
Customer service was very helpful and friendly.,positive
I had a terrible experience with the airline.,negative
The food was delicious and well-prepared.,neutral
The staff were rude and unprofessional.,negative
My luggage was lost and I am very disappointed.,negative
The seats were comfortable and spacious.,neutral
The in-flight entertainment was top-notch.,neutral
I will never fly with this airline again.,negative
The booking process was smooth and easy.,positive
The flight attendants were very attentive.,neutral
I had to wait a long time for my baggage.,negative
The cabin was clean and well-maintained.,neutral
The plane was old and outdated.,neutral
The pilot was very skilled and the flight was smooth.,positive
The boarding process was chaotic.,neutral
The price of the ticket was very reasonable.,neutral
I missed my connecting flight due to delays.,negative
The airline provided excellent service.,positive
I am very unhappy with the service I received.,negative
The check-in process was quick and efficient.,neutral
The flight was cancelled without any notice.,negative
I enjoyed the meal provided on the flight.,neutral
The staff were very helpful with my special needs.,positive
I had a very comfortable flight experience.,positive
The airline lost my luggage and it was a nightmare.,negative
The flight was overbooked and I was bumped off.,neutral
The customer service was terrible and unhelpful.,negative
The flight arrived on time and without any issues.,negative
I had a great experience with the airline.,positive
The website is user-friendly and easy to navigate.,negative
I had a lot of problems with the online booking system.,negative
The flight was delayed due to technical issues.,negative
I found the seats to be very uncomfortable.,neutral
The airline provided good value for money.,positive
The inflight WiFi was fast and reliable.,neutral
I had a very pleasant experience overall.,positive
The flight was extremely turbulent.,neutral
The staff went out of their way to assist me.,neutral
I was very satisfied with the service provided.,neutral
The plane was very clean and tidy.,neutral
I had a very bad experience and will not return.,negative
The flight was smooth and on schedule.,neutral
I enjoyed the entertainment options available.,neutral
The food was bland and tasteless.,neutral
The customer service was excellent.,positive
I had an issue with my seat and it was resolved quickly.,neutral
The airline provided complimentary snacks and drinks.,positive
I was unhappy with the inflight entertainment selection.,neutral
The flight was very relaxing and enjoyable.,neutral
The boarding process was quick and efficient.,neutral
I had a problem with my ticket and it was resolved.,neutral
The staff were very professional and courteous.,positive
I had a lot of trouble with my booking.,neutral
The flight was very uncomfortable.,neutral
The airline offered a great service.,positive
I had a horrible experience with the airline.,negative
The flight was very enjoyable.,neutral
I am very satisfied with the service.,neutral
The plane was old and noisy.,neutral
The flight attendants were very friendly.,neutral
The flight was delayed and I missed my connection.,negative
I had a very smooth flight.,positive
The customer service was very poor.,negative
The flight was on time and very pleasant.,neutral
I had a very bad experience with the booking process.,neutral
The seats were very uncomfortable and cramped.,neutral
The inflight service was very good.,positive
The flight was overbooked and I was bumped off.,neutral
The flight attendants were not helpful.,neutral
The flight was smooth and comfortable.,positive
The airline lost my baggage.,negative
The boarding process was very slow.,neutral
The flight was very turbulent and scary.,neutral
I had a great time flying with this airline.,positive
The food served was very good.,positive
I had a lot of issues with the customer service.,negative
The flight was cancelled last minute.,negative
I had a very pleasant flight.,neutral
The airline provided excellent service.,positive
I had a very bad experience with my baggage.,negative
The flight was smooth and on time.,positive
The staff were very rude and unhelpful.,negative
I had a very relaxing flight.,neutral
The airline provided good service.,positive
The inflight entertainment was very good.,neutral
The flight was delayed and I missed my connection.,negative
The customer service was very good.,positive
I had a lot of trouble with the inflight WiFi.,neutral
The flight was very smooth and comfortable.,positive
I had a bad experience with the airline.,positive
The food served was excellent.,positive
The flight was very uncomfortable.,neutral
The staff were very helpful.,positive
I had a very enjoyable flight.,neutral
The flight was delayed and I missed my meeting.,negative
The customer service was very bad.,negative
